Year ,Date,Site,Treatment ,NDVI_mean,NDVI_SD
2011,6/7/2011,LMAT,CT,0.535270326,0.02177178
2011,6/15/2011,LMAT,CT,0.556208359,0.008348966
2011,6/21/2011,LMAT,CT,0.594589888,0.023907397
2011,6/28/2011,LMAT,CT,0.617816699,NA
2011,7/2/2011,LMAT,CT,0.674808946,0.040107455
2011,7/7/2011,LMAT,CT,0.659637245,0.002590174
2011,7/15/2011,LMAT,CT,0.677967827,NA
2011,7/18/2011,LMAT,CT,0.711307825,NA
2011,7/20/2011,LMAT,CT,0.701301699,0.001930297
2011,8/2/2011,LMAT,CT,0.668127888,0.001349699
2011,8/5/2011,LMAT,CT,0.671879642,NA
2011,6/7/2011,LMAT,F10,0.560951642,0.051846837
2011,6/15/2011,LMAT,F10,0.585689291,0.039063914
2011,6/21/2011,LMAT,F10,0.687428753,0.036598966
2011,6/28/2011,LMAT,F10,0.719373163,NA
2011,7/2/2011,LMAT,F10,0.738641027,0.039732501
2011,7/7/2011,LMAT,F10,0.776436111,0.029775886
2011,7/15/2011,LMAT,F10,0.790242962,0.036141127
2011,7/18/2011,LMAT,F10,0.815366704,0.010743719
2011,7/20/2011,LMAT,F10,0.7823562,0.025534076
2011,8/2/2011,LMAT,F10,0.761177303,0.003874616
2011,8/5/2011,LMAT,F10,0.719415363,NA
2011,6/8/2011,LMAT,F2,0.621301501,0.03475776
2011,6/15/2011,LMAT,F2,0.657218845,0.037956169
2011,6/28/2011,LMAT,F2,0.719143569,NA
2011,7/2/2011,LMAT,F2,0.758407121,0.005589749
2011,7/7/2011,LMAT,F2,0.761923918,0.018503138
2011,7/18/2011,LMAT,F2,0.749423036,NA
2011,7/20/2011,LMAT,F2,0.786508993,0.0094486
2011,8/2/2011,LMAT,F2,0.755100547,0.014663301
2011,8/5/2011,LMAT,F2,0.75530373,NA
2011,6/8/2011,LMAT,F5,0.62380249,0.036452085
2011,6/15/2011,LMAT,F5,0.607249656,0.03392337
2011,6/28/2011,LMAT,F5,0.71207801,NA
2011,7/2/2011,LMAT,F5,0.742720899,0.000296188
2011,7/7/2011,LMAT,F5,0.760198227,0.00221974
2011,7/18/2011,LMAT,F5,0.767784844,NA
2011,7/20/2011,LMAT,F5,0.773175165,0.002815294
2011,8/2/2011,LMAT,F5,0.747810111,0.00357813
2011,8/5/2011,LMAT,F5,0.761188808,NA
2014,6/8/2014,LMAT,CT,0.494746744,0.029214246
2014,6/17/2014,LMAT,CT,0.549658926,0.015245934
2014,6/21/2014,LMAT,CT,0.577056738,0.016354764
2014,6/23/2014,LMAT,CT,0.55823048,0.019677811
2014,6/25/2014,LMAT,CT,0.586462325,0.01122093
2014,6/28/2014,LMAT,CT,0.600342857,0.024070683
2014,7/1/2014,LMAT,CT,0.600045393,0.027053534
2014,7/4/2014,LMAT,CT,0.632947796,0.031562549
2014,7/10/2014,LMAT,CT,0.670113572,0.008481922
2014,7/15/2014,LMAT,CT,0.657441804,0.029222926
2014,7/28/2014,LMAT,CT,0.68517818,0.035556202
2014,8/4/2014,LMAT,CT,0.647207636,0.023716923
2014,8/8/2014,LMAT,CT,0.658447905,0.031513145
2014,8/13/2014,LMAT,CT,0.643482539,0.02174031
2014,6/8/2014,LMAT,F10,0.387002024,0.05173506
2014,6/17/2014,LMAT,F10,0.444062781,0.061745234
2014,6/21/2014,LMAT,F10,0.473517029,0.001728293
2014,6/23/2014,LMAT,F10,0.490713059,0.133895933
2014,6/25/2014,LMAT,F10,0.555187681,0.077435756
2014,6/28/2014,LMAT,F10,0.574845395,0.06585674
2014,7/1/2014,LMAT,F10,0.62298574,0.046894613
2014,7/4/2014,LMAT,F10,0.678318692,0.053221437
2014,7/10/2014,LMAT,F10,0.730911113,0.048451797
2014,7/15/2014,LMAT,F10,0.743268905,0.036054269
2014,7/28/2014,LMAT,F10,0.747466942,0.021757208
2014,8/4/2014,LMAT,F10,0.711558262,0.023914801
2014,8/8/2014,LMAT,F10,0.689875332,0.032414337
2014,8/13/2014,LMAT,F10,0.672169304,0.013513756
2014,6/8/2014,LMAT,F2,0.551430133,0.070876176
2014,6/17/2014,LMAT,F2,0.575856699,0.081793983
2014,6/21/2014,LMAT,F2,0.651743727,0.048659428
2014,6/23/2014,LMAT,F2,0.543615175,0.020495314
2014,6/25/2014,LMAT,F2,0.636565032,0.073656881
2014,6/28/2014,LMAT,F2,0.659159634,0.068217845
2014,7/1/2014,LMAT,F2,0.668560105,0.072898849
2014,7/4/2014,LMAT,F2,0.690829907,0.04839307
2014,7/10/2014,LMAT,F2,0.715483131,0.04835486
2014,7/15/2014,LMAT,F2,0.73278046,0.059070703
2014,7/28/2014,LMAT,F2,0.740274204,0.038837827
2014,8/4/2014,LMAT,F2,0.708247686,0.040951247
2014,8/8/2014,LMAT,F2,0.707810976,0.05468844
2014,8/13/2014,LMAT,F2,0.675784226,0.041747475
2014,6/8/2014,LMAT,F5,0.486971241,0.034397434
2014,6/17/2014,LMAT,F5,0.543031798,0.025797942
2014,6/21/2014,LMAT,F5,0.575317754,0.01640606
