REGION,DATE,SITE,TREATMENT,QUAD,QUAD2,Written NDVI,PLOT,NDVI,NDRE,RE,NIR,R,LATITUDE,LONGITUDE,ELEVATION,HDOP,FIXTYPE,DATE,TIME,N,MAXNDRE,MAXNDVI,MINNDRE,MINNDVI,STDNDRE,STDNDVI,CVNDRE,CVNDVI,
Toolik,JULY 13 2018,PL,CT,,,test,1,0.4861,0.1871,21.297,31.109,10.755,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,13/07/2018,6:37:54,40,0.213,0.5116,0.1557,0.4658,0.0125,0.011,0.0665,0.0226,
Toolik,JULY 13 2018,PL,CT,C1.1,C1,0.4996,2,0.4996,0.189,21.269,31.187,10.405,68.562215,-149.4868466,898.4,1.1, GPS         ,13/07/2018,6:39:18,52,0.2114,0.5133,0.1619,0.4729,0.011,0.0085,0.0583,0.017,
Toolik,JULY 13 2018,PL,CT,C1.2,C1,0.4974,3,0.4974,0.1932,21.206,31.362,10.526,68.5622266,-149.486885,900.4,1.1, GPS         ,13/07/2018,6:39:44,49,0.2127,0.5103,0.181,0.4855,0.0075,0.0064,0.0387,0.0129,
Toolik,JULY 13 2018,PL,CT,C1.3,C1,0.36,4,0.36,0.1455,21.948,29.427,13.845,68.5622283,-149.4868416,898.6,1.1, GPS         ,13/07/2018,6:40:01,56,0.177,0.3802,0.1217,0.337,0.0122,0.0098,0.0839,0.0273,
Toolik,JULY 13 2018,PL,CT,C1.4,C1,0.5106,5,0.5106,0.1958,21.168,31.478,10.196,68.5622333,-149.4868366,898.9,1.1, GPS         ,13/07/2018,6:40:18,66,0.2172,0.5288,0.1698,0.4919,0.0108,0.0079,0.0549,0.0156,
Toolik,JULY 13 2018,PL,CT,C1.5,C1,0.5296,6,0.5296,0.2052,21.029,31.886,9.807,68.5622233,-149.4868783,899.4,0.9, GPS         ,13/07/2018,6:40:56,33,0.2222,0.5492,0.1903,0.5166,0.0076,0.0082,0.0372,0.0154,
Toolik,JULY 13 2018,PL,CT,C1.6,C1,0.5557,7,0.5557,0.2043,21.042,31.85,9.096,68.56223,-149.4869383,899.9,0.9, GPS         ,13/07/2018,6:41:13,49,0.2278,0.5721,0.1837,0.5423,0.0105,0.0074,0.0516,0.0134,
Toolik,JULY 13 2018,PL,CT,C1.7,C1,0.4566,8,0.4566,0.1754,21.477,30.622,11.42,68.5622316,-149.486895,901.3,0.9, GPS         ,13/07/2018,6:41:28,32,0.2054,0.4816,0.1434,0.4279,0.015,0.0115,0.0856,0.0251,
Toolik,JULY 13 2018,PL,CT,C1.8,C1,0.4325,9,0.4325,0.1655,21.632,30.225,11.987,68.56223,-149.4869033,904,0.9, GPS         ,13/07/2018,6:42:30,33,0.206,0.6495,0.1317,0.4057,0.0192,0.0404,0.1158,0.0934,
Toolik,JULY 13 2018,PL,CT,C2.1,C2,0.4757,10,0.4757,0.1784,21.431,30.742,10.92,68.5622233,-149.4869083,903.3,0.9, GPS         ,13/07/2018,6:42:49,44,0.2005,0.496,0.1376,0.4551,0.0138,0.0091,0.0772,0.0192,
Toolik,JULY 13 2018,PL,CT,C2.2,C2,0.5423,11,0.4532,0.1632,21.666,30.118,11.332,68.5622133,-149.4869233,903.4,0.9, GPS         ,13/07/2018,6:43:11,37,0.1837,0.4744,0.142,0.4361,0.0112,0.0093,0.0685,0.0205,
Toolik,JULY 13 2018,PL,CT,C2.3,C2,0.4582,12,0.4582,0.175,21.483,30.602,11.368,68.562215,-149.4869016,903.3,0.9, GPS         ,13/07/2018,6:43:26,33,0.2029,0.4872,0.1408,0.4197,0.0135,0.0129,0.0774,0.0281,
Toolik,JULY 13 2018,PL,CT,C2.4,C2,0.5145,13,0.5145,0.1942,21.192,31.419,10.069,68.5622266,-149.48689,903.2,0.9, GPS         ,13/07/2018,6:43:43,27,0.2178,0.5408,0.1496,0.4597,0.016,0.0195,0.0825,0.038,
Toolik,JULY 13 2018,PL,CT,C2.5,C2,0.5389,14,0.5389,0.2159,20.873,32.373,9.698,68.56223,-149.4869033,902.9,0.9, GPS         ,13/07/2018,6:43:58,35,0.2422,0.553,0.1979,0.5244,0.01,0.0064,0.0464,0.0118,
Toolik,JULY 13 2018,PL,CT,C2.6,C2,0.5519,15,0.5519,0.2196,20.821,32.541,9.394,68.5622283,-149.486915,902.9,0.9, GPS         ,13/07/2018,6:44:13,33,0.2412,0.5699,0.2017,0.5378,0.01,0.008,0.0453,0.0145,
Toolik,JULY 13 2018,PL,CT,C2.7,C2,0.4714,16,0.4741,0.1812,21.386,30.855,11.011,68.5622266,-149.48691,902.7,0.9, GPS         ,13/07/2018,6:44:28,25,0.2054,0.5148,0.1707,0.4359,0.009,0.0202,0.0494,0.0427,
Toolik,JULY 13 2018,PL,CT,C2.8,C2,0.5234,17,0.5234,0.2029,21.063,31.79,9.944,68.5622283,-149.48693,902.2,0.9, GPS         ,13/07/2018,6:45:46,36,0.2201,0.5423,0.1651,0.497,0.0117,0.009,0.0578,0.0172,
Toolik,JULY 13 2018,PL,CT,C3.1,C3,0.4991,18,0.4991,0.2022,21.072,31.758,10.61,68.562205,-149.4869233,902.2,0.9, GPS         ,13/07/2018,6:46:05,43,0.2183,0.514,0.1828,0.4788,0.0091,0.0082,0.0449,0.0165,
Toolik,JULY 13 2018,PL,CT,C3.2,C3,0.4733,19,0.4733,0.192,21.223,31.318,11.194,68.5622216,-149.4869433,903.6,0.9, GPS         ,13/07/2018,6:46:23,68,0.2153,0.4912,0.1695,0.4574,0.0118,0.0085,0.0613,0.0179,
Toolik,JULY 13 2018,PL,CT,C3.3,C3,0.4545,20,0.4545,0.1772,21.448,30.694,11.509,68.5622016,-149.4869266,903.9,0.9, GPS         ,13/07/2018,6:46:44,32,0.2005,0.4744,0.1367,0.4338,0.0129,0.0091,0.0728,0.02,
Toolik,JULY 13 2018,PL,CT,C3.4,C3,0.4322,21,0.4322,0.1842,21.341,30.983,12.295,68.5621966,-149.4868983,903.9,0.9, GPS         ,13/07/2018,6:47:03,45,0.2019,0.5598,0.1456,0.4096,0.0101,0.0207,0.0549,0.048,
Toolik,JULY 13 2018,PL,CT,C3.5,C3,0.4261,22,0.4261,0.1766,21.458,30.668,12.34,68.562195,-149.486895,904.4,0.9, GPS         ,13/07/2018,6:47:18,39,0.2032,0.4515,0.1504,0.4019,0.0136,0.0118,0.0769,0.0277,
Toolik,JULY 13 2018,PL,CT,C3.5,C3,0.4705,23,0.4705,0.1746,21.488,30.585,11.012,68.562215,-149.48692,904.8,0.9, GPS         ,13/07/2018,6:47:35,35,0.1986,0.4872,0.1457,0.4481,0.0123,0.0119,0.0705,0.0254,
Toolik,JULY 13 2018,PL,CT,C3.7,C3,0.5081,24,0.5081,0.1936,21.236,31.463,10.242,68.562215,-149.4869516,904.4,0.9, GPS         ,13/07/2018,6:47:53,65,0.2308,0.547,-0.1675,0.3367,0.0466,0.0258,0.2405,0.0507,
Toolik,JULY 13 2018,PL,CT,C3.8,C3,0.5872,25,0.5872,0.2157,20.876,32.364,8.417,68.5622083,-149.4869766,905,0.9, GPS         ,13/07/2018,6:49:04,52,0.2379,0.6034,0.1951,0.5689,0.0095,0.0087,0.0442,0.0149,
Toolik,JULY 13 2018,PL,CT,C4.1,C4,0.534,26,0.5346,0.1965,21.156,31.509,9.554,68.5622033,-149.4868666,902.4,0.9, GPS         ,13/07/2018,6:49:25,36,0.2211,0.5486,0.1801,0.519,0.0084,0.007,0.0425,0.0131,
Toolik,JULY 13 2018,PL,CT,C4.2,C4,0.4609,27,0.4609,0.1794,21.477,30.896,11.397,68.5622016,-149.4869033,901,0.9, GPS         ,13/07/2018,6:49:44,47,0.2195,0.485,-0.205,0.4333,0.0578,0.0123,0.322,0.0266,
Toolik,JULY 13 2018,PL,CT,C4.3,C4,0.408,28,0.408,0.1565,23.002,30.264,12.623,68.562205,-149.4869166,901.8,0.9, GPS         ,13/07/2018,6:49:59,50,0.2005,0.4401,-0.7718,-0.2342,0.1334,0.0924,0.8526,0.2265,
Toolik,JULY 13 2018,PL,CT,C4.4,C4,0.4514,29,0.4514,0.1837,21.351,30.97,11.707,68.56221,-149.48691,902.9,0.9, GPS         ,13/07/2018,6:50:19,68,0.2229,0.4976,0.1476,0.4096,0.0168,0.0221,0.0916,0.0489,
