PLOT,Region,Site ,Treatment,Quadrat,NDRE,NDVI,RE,NIR,R,LATITUDE,LONGITUDE,ELEVATION,HDOP,FIXTYPE,DATE,TIME,N,MAXNDRE,MAXNDVI,MINNDRE,MINNDVI,STDNDRE,STDNDVI,CVNDRE,CVNDVI
1,T,PL,EX,CH1,0.2121,0.5831,20.928,32.201,8.48,68.5620516,-149.4870316,904.6,1.2, GPS         ,3/7/2019,22:24:58,35,0.2317,0.5945,0.1931,0.5719,0.0097,0.006,0.0458,0.0104
2,T,PL,EX,CH1,0.2161,0.6055,20.886,32.433,7.953,68.56205,-149.4870216,903.8,1.2, GPS         ,3/7/2019,22:25:13,31,0.2391,0.6224,0.0379,0.4851,0.0341,0.0229,0.1577,0.0378
3,T,PL,EX,CH1,0.2197,0.6057,20.819,32.544,7.991,68.562045,-149.4870266,904,1, GPS         ,3/7/2019,22:25:28,33,0.2432,0.6292,0.2001,0.5896,0.0091,0.01,0.0415,0.0165
4,T,PL,EX,CH1,0.2288,0.6088,20.691,32.975,8.015,68.5620466,-149.4870216,903.5,1, GPS         ,3/7/2019,22:25:47,40,0.2676,0.6266,0.2077,0.5864,0.0132,0.0093,0.0577,0.0153
5,T,PL,EX,CH1,0.2238,0.6265,20.761,32.735,7.517,68.5620416,-149.48699,903.1,1, GPS         ,3/7/2019,22:26:06,32,0.2448,0.6477,0.2064,0.6105,0.0091,0.0073,0.0409,0.0117
6,T,PL,EX,CH1,0.2307,0.6116,20.664,33.063,7.966,68.5620483,-149.487,902.8,1, GPS         ,3/7/2019,22:26:21,34,0.2598,0.6318,0.2085,0.5912,0.0125,0.0094,0.054,0.0154
7,T,PL,EX,CH1,0.2033,0.5572,21.058,31.809,9.044,68.562055,-149.487015,903.1,1, GPS         ,3/7/2019,22:26:37,22,0.2325,0.581,0.1719,0.5396,0.0132,0.0095,0.0648,0.017
8,T,PL,EX,CH1,0.2065,0.5716,21.01,31.951,8.708,68.5620566,-149.487035,903.2,1, GPS         ,3/7/2019,22:29:27,28,0.2404,0.5869,0.1821,0.5538,0.0114,0.0073,0.0551,0.0128
10,T,PL,EX,CH2,0.2517,0.6125,20.373,34.082,8.189,68.5620583,-149.4869983,901.6,1, GPS         ,3/7/2019,22:30:15,36,0.2699,0.6302,0.2365,0.5951,0.0073,0.0078,0.0289,0.0127
11,T,PL,EX,CH2,0.253,0.6237,20.356,34.148,7.913,68.5620533,-149.487005,901.3,1, GPS         ,3/7/2019,22:30:28,30,0.2672,0.6339,0.2323,0.6141,0.008,0.0051,0.0315,0.0082
12,T,PL,EX,CH2,0.234,0.6104,20.616,33.218,8.037,68.56205,-149.4870116,901.4,1, GPS         ,3/7/2019,22:30:45,24,0.2571,0.6273,0.2171,0.5912,0.0083,0.0083,0.0356,0.0135
13,T,PL,EX,CH2,0.2369,0.6177,20.577,33.353,7.881,68.5620483,-149.4870366,902.7,1, GPS         ,3/7/2019,22:30:57,30,0.2506,0.6282,0.2263,0.6104,0.0077,0.004,0.0326,0.0064
14,T,PL,EX,CH2,0.2505,0.6358,20.39,34.025,7.575,68.5620566,-149.4870533,902.8,1, GPS         ,3/7/2019,22:31:14,31,0.2728,0.6541,0.2336,0.6209,0.0098,0.007,0.039,0.011
15,T,PL,EX,CH2,0.2347,0.6019,20.608,33.259,8.276,68.562055,-149.4870483,903.3,1, GPS         ,3/7/2019,22:31:35,35,0.2509,0.699,0.1681,0.5844,0.0142,0.0179,0.0606,0.0297
16,T,PL,EX,CH2,0.243,0.6235,20.492,33.654,7.802,68.562055,-149.48704,902,1, GPS         ,3/7/2019,22:31:47,23,0.2646,0.6362,0.2239,0.6102,0.0099,0.0066,0.0406,0.0107
17,T,PL,EX,CH2,0.245,0.6186,20.465,33.748,7.952,68.5620533,-149.4870283,901.1,1, GPS         ,3/7/2019,22:35:58,27,0.2638,0.6281,0.2216,0.6079,0.0088,0.0052,0.0358,0.0084
18,T,PL,EX,CH3,0.2253,0.633,20.74,32.813,7.373,68.5620183,-149.4870033,901.2,1, GPS         ,3/7/2019,22:36:12,29,0.2617,0.6555,0.1971,0.6129,0.0131,0.0102,0.0581,0.0162
19,T,PL,EX,CH3,0.2213,0.6032,20.796,32.626,8.074,68.56202,-149.487,901.7,1, GPS         ,3/7/2019,22:36:30,24,0.2407,0.6165,0.1968,0.5793,0.0122,0.0088,0.0551,0.0146
20,T,PL,EX,CH3,0.2252,0.5972,20.742,32.804,8.271,68.56203,-149.4869966,901.9,1, GPS         ,3/7/2019,22:36:43,16,0.2487,0.6101,0.1991,0.5812,0.0125,0.007,0.0554,0.0117
21,T,PL,EX,CH3,0.2394,0.6285,20.542,33.481,7.638,68.56204,-149.4869966,902.2,1, GPS         ,3/7/2019,22:37:01,13,0.2595,0.6356,0.2192,0.6206,0.0104,0.0047,0.0433,0.0074
22,T,PL,EX,CH3,0.2288,0.6112,20.691,32.972,7.956,68.5620566,-149.4869766,902,1, GPS         ,3/7/2019,22:37:15,23,0.2504,0.6253,0.2071,0.5983,0.0111,0.0077,0.0483,0.0127
23,T,PL,EX,CH3,0.2311,0.5888,20.659,33.093,8.561,68.5620633,-149.4869516,902.6,1, GPS         ,3/7/2019,22:37:29,18,0.2654,0.6088,0.1896,0.568,0.016,0.0095,0.0692,0.0161
24,T,PL,EX,CH3,0.2268,0.6098,20.718,32.88,7.969,68.5620583,-149.486945,902.8,1, GPS         ,3/7/2019,22:37:44,17,0.2495,0.6217,0.2028,0.595,0.0115,0.0068,0.0506,0.0112
25,T,PL,EX,CH3,0.2333,0.6293,20.627,33.192,7.55,68.5620416,-149.4869383,902.4,1, GPS         ,3/7/2019,22:40:19,26,0.2617,0.6465,0.2078,0.6118,0.0132,0.0083,0.0565,0.0131
26,T,PL,EX,Q1,0.2414,0.6489,20.515,33.575,7.147,68.56202,-149.48698,899.1,1, GPS         ,3/7/2019,22:40:28,28,0.2669,0.6603,0.2241,0.6395,0.0104,0.0054,0.0431,0.0083
27,T,PL,EX,Q1,0.2309,0.6495,20.66,33.071,7.027,68.5620233,-149.4869733,898.9,1, GPS         ,3/7/2019,22:40:43,67,0.2627,0.6639,0.2152,0.6326,0.0094,0.0069,0.0406,0.0107
28,T,PL,EX,Q1,0.2313,0.6563,20.655,33.09,6.865,68.5620216,-149.4869683,898.8,1, GPS         ,3/7/2019,22:40:51,22,0.2515,0.6687,0.2094,0.6428,0.0103,0.0076,0.0446,0.0115
