Site ,Treatment ,Quadrat/Chamber #,Replicate #,PLOT,NDRE,NDVI,RE,NIR,R,LATITUDE,LONGITUDE,ELEVATION,HDOP,FIXTYPE,DATE,TIME,N,MAXNDRE,MAXNDVI,MINNDRE,MINNDVI,STDNDRE,STDNDVI,CVNDRE,CVNDVI,,,,,,,,,,,,,
ST,CT,Q1,1,1,0.2303,0.6936,20.668,33.041,5.976,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:14:59,45,0.2497,0.7072,0.2118,0.6838,0.0083,0.0049,0.036,0.007,,,,,,,,,,,,,
ST,CT,Q1,2,2,0.2272,0.7234,20.712,32.893,5.278,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:15:38,61,0.2496,0.7352,0.2083,0.7123,0.0086,0.0049,0.0377,0.0068,,,,,,,,,,,,,
ST,CT,Q1,3,3,0.2243,0.7303,20.753,32.761,5.106,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:16:01,55,0.2449,0.7401,0.2018,0.7194,0.0099,0.0047,0.044,0.0065,,,,,,,,,,,,,
ST,CT,Q1,4,4,0.2239,0.7093,20.777,32.796,5.561,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:16:19,54,0.2493,0.7259,-0.0291,0.5049,0.0357,0.0286,0.1595,0.0403,,,,,,,,,,,,,
ST,CT,Q1,5,5,0.2173,0.6517,20.854,32.437,6.839,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:16:38,52,0.2565,0.6836,0.1942,0.6258,0.0112,0.0109,0.0514,0.0167,,,,,,,,,,,,,
ST,CT,Q1,6,6,0.2136,0.6071,20.907,32.264,7.887,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:16:53,51,0.2341,0.6182,0.1944,0.5951,0.0084,0.005,0.0395,0.0083,,,,,,,,,,,,,
ST,CT,Q1,7,7,0.2142,0.6224,20.897,32.295,7.515,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:17:08,48,0.235,0.6328,0.1952,0.6078,0.0084,0.0056,0.0391,0.009,,,,,,,,,,,,,
ST,CT,Q1,8,8,0.2015,0.6403,21.083,31.726,6.957,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:18:04,63,0.2212,0.6546,0.1781,0.6247,0.0102,0.0065,0.0507,0.0102,,,,,,,,,,,,,
ST,CT,Q2,1,9,0.1976,0.5823,21.139,31.555,8.331,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:18:27,63,0.2151,0.6014,0.1727,0.5558,0.0071,0.0092,0.0358,0.0158,,,,,,,,,,,,,
ST,CT,Q2,2,10,0.1936,0.546,21.2,31.381,9.214,---.-------  ,---.-------  ,---          ,---          ,Fix not valid,17/07/2021,11:18:45,55,0.2182,0.5594,0.1712,0.5314,0.0099,0.0073,0.0513,0.0133,,,,,,,,,,,,,
