date ,year,region,site,treatment,block,species,Q1,Q2,Q3,Q4
7/24/2022,2022,toolik,MAT81,NP,1,ERI VAG,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,EV. LITTER,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,CAR BIG,5,1,0.1,4
7/24/2022,2022,toolik,MAT81,NP,1,GRASS ex.,4,2,4,1
7/24/2022,2022,toolik,MAT81,NP,1,BET NAN,5,7,16,38
7/24/2022,2022,toolik,MAT81,NP,1,DEAD BET,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,SAL PUL,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,SAL RET,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,ARC ALP,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,VAC ULI,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,RUB CHA,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,PET FRI,3,1,0,0
7/24/2022,2022,toolik,MAT81,NP,1,POL BIS,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,LED PAL,4,7,7,3
7/24/2022,2022,toolik,MAT81,NP,1,CAS TET,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,VAC VIT,3,1,2,1
7/24/2022,2022,toolik,MAT81,NP,1,EMP NIG,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,PED LAP,0.1,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,AND POL,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,DEAD EV.,0,2,2,0.1
7/24/2022,2022,toolik,MAT81,NP,1,MOSS,17,6,10,8
7/24/2022,2022,toolik,MAT81,NP,1,LICHEN,0.1,0.1,0.1,0.1
7/24/2022,2022,toolik,MAT81,NP,1,LITTER,13,15,7,0.1
7/24/2022,2022,toolik,MAT81,NP,1,FR BOIL,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,BARE GR.,1,0.1,1,1
7/24/2022,2022,toolik,MAT81,NP,1,# TUSS.,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,HOLES,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,TRAILS,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,1,% LITTER,0,0,0,0
drop,,,,,,,,,,
7/24/2022,2022,toolik,MAT81,CT,2,ERI VAG,4,3,4,7
7/24/2022,2022,toolik,MAT81,CT,2,EV. LITTER,1,1,1,4
7/24/2022,2022,toolik,MAT81,CT,2,CAR BIG,11,7,8,5
7/24/2022,2022,toolik,MAT81,CT,2,GRASS ex.,0,0,0,0.1
7/24/2022,2022,toolik,MAT81,CT,2,BET NAN,27,13,23,27
7/24/2022,2022,toolik,MAT81,CT,2,DEAD BET,0.1,0,0.1,0.1
7/24/2022,2022,toolik,MAT81,CT,2,SAL PUL,0,0,0,0
7/24/2022,2022,toolik,MAT81,CT,2,SAL RET,0,1,0,0
7/24/2022,2022,toolik,MAT81,CT,2,ARC ALP,0,0,0,0
7/24/2022,2022,toolik,MAT81,CT,2,VAC ULI,0,0.1,0,0.1
7/24/2022,2022,toolik,MAT81,CT,2,RUB CHA,9,0.1,3,0.1
7/24/2022,2022,toolik,MAT81,CT,2,PET FRI,9,5,2,2
7/24/2022,2022,toolik,MAT81,CT,2,POL BIS,3,1,1,2
7/24/2022,2022,toolik,MAT81,CT,2,LED PAL,25,19,9,16
7/24/2022,2022,toolik,MAT81,CT,2,CAS TET,0,0,0,0
7/24/2022,2022,toolik,MAT81,CT,2,VAC VIT,7,5,4,8
7/24/2022,2022,toolik,MAT81,CT,2,EMP NIG,0,0.1,1,0
7/24/2022,2022,toolik,MAT81,CT,2,PED LAP,0.1,0.1,0.1,0.1
7/24/2022,2022,toolik,MAT81,CT,2,AND POL,0.1,0,0,0
7/24/2022,2022,toolik,MAT81,CT,2,DEAD EV.,0.1,0,1,0.1
7/24/2022,2022,toolik,MAT81,CT,2,MOSS,17,29,22,26
7/24/2022,2022,toolik,MAT81,CT,2,LICHEN,1,5,3,2
7/24/2022,2022,toolik,MAT81,CT,2,LITTER,9,11,13,3
7/24/2022,2022,toolik,MAT81,CT,2,FR BOIL,0,0,0,0
7/24/2022,2022,toolik,MAT81,CT,2,BARE GR.,0,0,0,0
7/24/2022,2022,toolik,MAT81,CT,2,# TUSS.,1,1,2,6
7/24/2022,2022,toolik,MAT81,CT,2,HOLES,0,0,0,0
7/24/2022,2022,toolik,MAT81,CT,2,TRAILS,0,0,0,0
7/24/2022,2022,toolik,MAT81,CT,2,% LITTER,0,0,0,0
drop,,,,,,,,,,
7/24/2022,2022,toolik,MAT81,NP,2,ERI VAG,4,1,0,0
7/24/2022,2022,toolik,MAT81,NP,2,EV. LITTER,3,0.1,2,0
7/24/2022,2022,toolik,MAT81,NP,2,CAR BIG,0,0,0.1,0
7/24/2022,2022,toolik,MAT81,NP,2,GRASS ex.,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,BET NAN,44,46,87,65
7/24/2022,2022,toolik,MAT81,NP,2,DEAD BET,10,18,11,18
7/24/2022,2022,toolik,MAT81,NP,2,SAL PUL,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,SAL RET,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,ARC ALP,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,VAC ULI,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,RUB CHA,7,7,0.1,8
7/24/2022,2022,toolik,MAT81,NP,2,PET FRI,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,POL BIS,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,LED PAL,4,9,0,0.1
7/24/2022,2022,toolik,MAT81,NP,2,CAS TET,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,VAC VIT,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,EMP NIG,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,PED LAP,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,AND POL,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,DEAD EV.,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,MOSS,6,3,0.1,0
7/24/2022,2022,toolik,MAT81,NP,2,LICHEN,0.1,0.1,0,0.1
7/24/2022,2022,toolik,MAT81,NP,2,LITTER,5,1,0,2
7/24/2022,2022,toolik,MAT81,NP,2,FR BOIL,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,BARE GR.,3,0.1,0,0
7/24/2022,2022,toolik,MAT81,NP,2,# TUSS.,1,1,0,0
7/24/2022,2022,toolik,MAT81,NP,2,HOLES,1,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,TRAILS,0,0,0,0
7/24/2022,2022,toolik,MAT81,NP,2,% LITTER,0,0,0,3
drop,,,,,,,,,,
