date ,year,region,site,treatment,block,species,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
7/27/2018,2018,Toolik ,89MAT,CT2,1,moss,18,15,12,8,16,9,6,4
7/27/2018,2018,Toolik ,89MAT,CT2,1,lichen,10,14,13,10,3,2,2,3
7/27/2018,2018,Toolik ,89MAT,CT2,1,litter,10,8,7,6,7,4,6,6
7/27/2018,2018,Toolik ,89MAT,CT2,1,frost boil,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,bare,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,And pol,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,Bet nan,4,6,15,19,6,4,15,14
7/27/2018,2018,Toolik ,89MAT,CT2,1,Car big,0.5,0,4,3,0,7,12,9
7/27/2018,2018,Toolik ,89MAT,CT2,1,Cas tet,5,9,3,2,1,2,0.5,0.5
7/27/2018,2018,Toolik ,89MAT,CT2,1,Emp nig,2,2,2,3,6,5,1,7
7/27/2018,2018,Toolik ,89MAT,CT2,1,Eri vag,18,18,14,15,12,3,2,16
7/27/2018,2018,Toolik ,89MAT,CT2,1,Led pal,18,16,14,21,22,11,7,15
7/27/2018,2018,Toolik ,89MAT,CT2,1,Ped lap,0.5,0,0.5,0,0.5,0,0.5,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,Pol bis,0,0,0,1,0,1,1,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,Rub cha,13,4,7,16,11,18,12,12
7/27/2018,2018,Toolik ,89MAT,CT2,1,Sal pul,0,0,3,10,4,9,11,10
7/27/2018,2018,Toolik ,89MAT,CT2,1,Vac uli,0,0,6,4,1,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,Vac vit,8,20,14,16,20,26,34,17
7/27/2018,2018,Toolik ,89MAT,CT2,1,St. D. Bet.,0,0,0.5,0,0,0,0,0
drop,,,,,,,,,,,,,,
7/27/2018,2018,Toolik ,89MAT,NP,1,moss,6,4,3,2,0,0.5,1,0
