Treatment Start Year,Treatment End Year,Year,Site,Treatment,Block,Plot,Species Code,Relative Cover,Plant name or category,Accepted Latin Name or category
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,moss,2.7,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,lichen,2.7,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,litter,2.7,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,Bet nan,30.9,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,Car big,0.7,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,Cas tet,0.7,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,Emp nig,0.7,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,Eri vag,21.5,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,Led pal,8.1,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,Rub cha,9.4,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,Sal pul,1.3,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,1,Vac vit,18.8,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,moss,0.6,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,lichen,0.6,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,litter,2.5,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,bare,1.3,#REF!,Bare soil
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,Bet nan,30.4,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,Car big,1.3,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,Emp nig,1.3,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,Eri vag,24.1,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,Led pal,12.7,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,Rub cha,6.3,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,2,Vac vit,19,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,moss,9.2,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,lichen,3.1,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,litter,6.1,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,Bet nan,21.4,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,Car big,0.8,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,Emp nig,6.1,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,Eri vag,19.8,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,Led pal,7.6,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,Ped sp.,0.8,#REF!,Pedicularis sp.
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,Rub cha,9.2,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,Sal pul,0.8,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,3,Vac vit,15.3,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,moss,5,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,lichen,0.8,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,litter,6.7,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,bare,1.7,#REF!,Bare soil
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,Bet nan,20,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,Car big,0.8,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,Cas tet,0.8,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,Emp nig,0.8,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,Eri vag,30,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,Led pal,13.3,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,Rub cha,5,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,Sal pul,3.3,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,4,Vac vit,11.7,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,moss,5.9,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,lichen,2,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,litter,4,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,Bet nan,19.8,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,Car big,1,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,Cas tet,1,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,Eri vag,45.5,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,Led pal,7.9,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,Rub cha,1,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,Sal pul,4,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,5,Vac vit,7.9,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,moss,1.9,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,lichen,1.9,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,litter,3.7,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,Bet nan,24.1,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,Cas tet,0.9,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,Emp nig,7.4,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,Eri vag,29.6,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,Led pal,13,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,Rub cha,5.6,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,Sal pul,0.9,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,6,Vac vit,11.1,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,moss,1.6,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,lichen,1.6,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,litter,3.1,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,Bet nan,36.2,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,Car big,0.8,#REF!,Carex Bigelowii
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,Emp nig,0.8,#REF!,Empetrum nigrum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,Eri vag,28.3,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,Led pal,7.9,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,Rub cha,7.9,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,Sal pul,0.8,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,7,Vac vit,11,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,moss,0.8,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,lichen,3,#REF!,Mixed Lichens
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,litter,1.5,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,Bet nan,24.1,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,Cas tet,0.8,#REF!,Cassiope tetragona
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,Eri vag,40.6,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,Led pal,9,#REF!,Ledum palustre
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,Pol bis,0.8,#REF!,Persicaria bistorta
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,Rub cha,4.5,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,Sal pul,1.5,#REF!,Salix pulchra
1989,,2012,LTER Moist Acidic Tussock 1989,Control,1,8,Vac vit,13.5,#REF!,Vaccinium vitis-idaea
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,1,moss,4.1,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,1,litter,6.2,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,1,bare,4.1,#REF!,Bare soil
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,1,Bet nan,37.1,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,1,Rub cha,34,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,1,St. D. Bet.,14.4,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,2,litter,5.4,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,2,bare,3.3,#REF!,Bare soil
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,2,Bet nan,62,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,2,Rub cha,10.9,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,2,St. D. Bet.,18.5,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,3,litter,0.9,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,3,bare,3.6,#REF!,Bare soil
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,3,Bet nan,53.2,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,3,Rub cha,28.8,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,3,St. D. Bet.,13.5,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,4,moss,0.8,#REF!,Mixed moss
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,4,litter,1.6,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,4,Bet nan,34.6,#REF!,Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,4,Eri vag,0.4,#REF!,Eriophorum vaginatum
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,4,Rub cha,52.7,#REF!,Rubus chamaemorus
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,4,St. D. Bet.,9.9,#REF!,Standing Dead Betula nana
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,5,litter,1.7,#REF!,Mixed dead litter
1989,,2012,LTER Moist Acidic Tussock 1989,Nitrogen Phosphorus,1,5,bare,0.8,#REF!,Bare soil
