date ,year,region,site,treatment,block,species,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
7/19/2022,2022,toolik,MAT06,CT,1,ERI VAG,8.5,8,5,6,3.5,4.5,4,7.5
7/19/2022,2022,toolik,MAT06,CT,1,EV. LITTER,0,0,0,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,CAR BIG,0,0,0,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,GRASS ex.,1,2,3.5,3,2,1,<1,2
7/19/2022,2022,toolik,MAT06,CT,1,BET NAN,9.5,17.5,16.5,23,16,18.5,14,10.5
7/19/2022,2022,toolik,MAT06,CT,1,DEAD BET,0,0,0,1,1,<1,0,0
7/19/2022,2022,toolik,MAT06,CT,1,SAL PUL,0,2,3,2,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,SAL RET,0,0,0,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,ARC ALP,1,2.5,1,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,VAC ULI,3,9,0,0,2,2,2,3
7/19/2022,2022,toolik,MAT06,CT,1,RUB CHA,4,2,3,6,7.5,9,6,14
7/19/2022,2022,toolik,MAT06,CT,1,PET FRI,0,0,0,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,POL BIS,1,<1,1,0,<1,1.5,1,0
7/19/2022,2022,toolik,MAT06,CT,1,LED PAL,12,14,15,3,5,6.5,13,4
7/19/2022,2022,toolik,MAT06,CT,1,CAS TET,0,0,0,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,VAC VIT,7,9,10,2,10,14,10,14.5
7/19/2022,2022,toolik,MAT06,CT,1,EMP NIG,1,3,3.5,4,4.5,<1,0,2.5
7/19/2022,2022,toolik,MAT06,CT,1,PED LAP,0,<1,<1,0,<1,0,1,<1
7/19/2022,2022,toolik,MAT06,CT,1,AND POL,0,0,0,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,DEAD EV.,<1,1,1,<1,2,<1,0,0
7/19/2022,2022,toolik,MAT06,CT,1,MOSS,19,18,26,38,31,21,12,14
7/19/2022,2022,toolik,MAT06,CT,1,LICHEN,<1,<1,1,<1,4,3,1,1
7/19/2022,2022,toolik,MAT06,CT,1,LITTER,13,20,16,17,12,7.5,14,11
7/19/2022,2022,toolik,MAT06,CT,1,FR BOIL,0,0,0,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,BARE GR.,0,0,0,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,# TUSS.,,,,,,,,
7/19/2022,2022,toolik,MAT06,CT,1,HOLES,0,0,0,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,TRAILS,0,0,0,0,0,0,0,0
7/19/2022,2022,toolik,MAT06,CT,1,% LITTER,<1,0,0,0,0,0,0,1
drop,,,,,,,,,,,,,,
7/19/2022,2022,toolik,MAT06,F0.5,1,ERI VAG,20,15.5,12,6.5,10,8,12.5,15.5
