X,Y,RowID,CrimeDateTime,CrimeCode,Location,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,District,Neighborhood,Latitude,Longitude,GeoLocation,Premise,VRIName,Total_Incidents
-76.5706,39.2925000000001,661,2022/07/25 17:30:00+00,5A,3300 E BALTIMORE ST,BURGLARY,,,222,,,,,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.2925,-76.5706,"(39.2925,-76.5706)",,,1
-76.5501,39.301,662,2022/07/25 19:00:00+00,5B,5600 PULASKI HWY,BURGLARY,,,433,,,,,NORTHEAST,PULASKI INDUSTRIAL AREA,39.301,-76.5501,"(39.301,-76.5501)",,,1
-76.5828999999999,39.2930000000001,689,2022/07/25 00:00:00+00,5F,2400 E FAIRMOUNT AVE,BURGLARY,,,221,F,31,WHITE,,SOUTHEAST,PATTERSON PLACE,39.293,-76.5829,"(39.293,-76.5829)",,,1
-76.5828999999999,39.2930000000001,690,2022/07/25 00:00:00+00,5F,2400 E FAIRMOUNT AVE,BURGLARY,,,221,M,30,WHITE,,SOUTHEAST,PATTERSON PLACE,39.293,-76.5829,"(39.293,-76.5829)",,,1
-76.6188,39.3033,698,2022/07/25 03:38:00+00,5B,1000 PARK AVE,BURGLARY,,,134,,,,,CENTRAL,MID-TOWN BELVEDERE,39.3033,-76.6188,"(39.3033,-76.6188)",,,1
-76.6831,39.3471000000001,703,2022/07/25 06:15:00+00,5F,3800 HAYWARD AVE,BURGLARY,,,633,,,,,NORTHWEST,ARLINGTON,39.3471,-76.6831,"(39.3471,-76.6831)",,Northwestern,1
-76.6383999999999,39.3151,705,2022/07/25 10:26:00+00,5F,2500 EUTAW PL,BURGLARY,,,133,,,,,CENTRAL,RESERVOIR HILL,39.3151,-76.6384,"(39.3151,-76.6384)",,,1
-76.5821999999999,39.2958,734,2022/07/25 16:00:00+00,5A,400 N MILTON AVE,BURGLARY,,,221,M,26,WHITE,,SOUTHEAST,MCELDERRY PARK,39.2958,-76.5822,"(39.2958,-76.5822)",,,1
-76.6181,39.3153,747,2022/07/25 13:30:00+00,5A,2300 MARYLAND AVE,BURGLARY,,,514,M,52,WHITE,NOT_HISPANIC_OR_LATINO,NORTHERN,OLD GOUCHER,39.3153,-76.6181,"(39.3153,-76.6181)",,,1
-76.5463,39.3391,748,2022/07/25 11:40:00+00,5F,4300 BERGER AVE,BURGLARY,,,444,M,54,WHITE,NOT_HISPANIC_OR_LATINO,NORTHEAST,FRANKFORD,39.3391,-76.5463,"(39.3391,-76.5463)",,,1
-76.5463,39.3391,749,2022/07/25 11:40:00+00,5F,4300 BERGER AVE,BURGLARY,,,444,M,34,WHITE,NOT_HISPANIC_OR_LATINO,NORTHEAST,FRANKFORD,39.3391,-76.5463,"(39.3391,-76.5463)",,,1
-76.6058,39.2707,759,2022/07/25 14:06:00+00,5A,1700 BELT ST,BURGLARY,,,943,F,29,WHITE,,SOUTHERN,RIVERSIDE,39.2707,-76.6058,"(39.2707,-76.6058)",,,1
-76.6854999999999,39.3716000000001,761,2022/07/25 18:25:00+00,5A,2600 GAGE CT,BURGLARY,,,632,F,29,BLACK_OR_AFRICAN_AMERICAN,,NORTHWEST,CHESWOLDE,39.3716,-76.6855,"(39.3716,-76.6855)",,,1
-76.6283,39.2751000000001,778,2022/07/25 16:00:00+00,5B,1500 RIDGELY ST,BURGLARY,,,941,M,70,WHITE,,SOUTHERN,CARROLL - CAMDEN INDUSTRIAL AREA,39.2751,-76.6283,"(39.2751,-76.6283)",,,1
-76.6197,39.2904,813,2022/07/12 12:35:00+00,5F,300 W FAYETTE ST,BURGLARY,,,114,F,34,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DOWNTOWN,39.2904,-76.6197,"(39.2904,-76.6197)",,,1
-76.6820999999999,39.3379,828,2022/07/12 17:28:00+00,5A,3900 FERNHILL AVE,BURGLARY,,,625,M,60,,UNKNOWN,NORTHWEST,DOLFIELD,39.3379,-76.6821,"(39.3379,-76.6821)",,,1
-76.6509,39.2813,834,2022/07/12 19:00:00+00,5F,500 S SMALLWOOD ST,BURGLARY,,,834,,,,,SOUTHWEST,CARROLLTON RIDGE,39.2813,-76.6509,"(39.2813,-76.6509)",,Tri-District,1
-76.6566,39.3161000000001,836,2022/07/12 04:38:00+00,5B,2500 GWYNNS FALLS PKWY,BURGLARY,,,731,,,,,WESTERN,MONDAWMIN,39.3161,-76.6566,"(39.3161,-76.6566)",,,1
-76.6365,39.3083,1094,2022/07/12 18:40:00+00,5F,2100 DRUID HILL AVE,BURGLARY,,,131,F,28,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DRUID HEIGHTS,39.3083,-76.6365,"(39.3083,-76.6365)",,,1
-76.6365,39.3083,1095,2022/07/12 18:40:00+00,5F,2100 DRUID HILL AVE,BURGLARY,,,131,F,26,BLACK_OR_AFRICAN_AMERICAN,,CENTRAL,DRUID HEIGHTS,39.3083,-76.6365,"(39.3083,-76.6365)",,,1
-76.6240999999999,39.3070000000001,1097,2022/07/12 02:40:00+00,5A,1400 PARK AVE,BURGLARY,,,132,F,13,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,CENTRAL,BOLTON HILL,39.307,-76.6241,"(39.307,-76.6241)",,,1
-76.607,39.3027000000001,1099,2022/07/12 10:30:00+00,5A,700 E CHASE ST,BURGLARY,,,313,M,36,WHITE,,EASTERN,JOHNSTON SQUARE,39.3027,-76.607,"(39.3027,-76.607)",,,1
-76.5979,39.2344000000001,1444,2022/07/24 10:30:00+00,5F,3600 9TH ST,BURGLARY,,,913,M,41,WHITE,,SOUTHERN,BROOKLYN,39.2344,-76.5979,"(39.2344,-76.5979)",,Brooklyn,1
-76.5923999999999,39.2866000000001,1770,2022/07/24 13:00:00+00,5A,1700 BANK ST,BURGLARY,,,213,M,63,WHITE,,SOUTHEAST,UPPER FELLS POINT,39.2866,-76.5924,"(39.2866,-76.5924)",,,1
-76.5923,39.2847,1781,2022/07/24 02:00:00+00,5F,1700 FLEET ST,BURGLARY,,,213,M,66,WHITE,,SOUTHEAST,FELLS POINT,39.2847,-76.5923,"(39.2847,-76.5923)",,,1
-76.6496999999999,39.2661000000001,1790,2022/07/24 18:00:00+00,5F,2000 GRINNALDS AVE,BURGLARY,,,831,F,28,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,SOUTHWEST,MORRELL PARK,39.2661,-76.6497,"(39.2661,-76.6497)",,,1
-76.5707,39.3664000000001,1792,2022/07/24 15:15:00+00,5F,2200 PINEWOOD AVE,BURGLARY,,,423,F,73,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,NORTHEAST,HAMILTON HILLS,39.3664,-76.5707,"(39.3664,-76.5707)",,,1
-76.6704,39.3629,1804,2022/07/24 19:00:00+00,5F,2400 CREST RD,BURGLARY,,,533,F,51,,,NORTHERN,MOUNT WASHINGTON,39.3629,-76.6704,"(39.3629,-76.6704)",,,1
-76.6530999999999,39.2912000000001,1890,2022/07/11 15:45:00+00,5F,200 N BENTALOU ST,BURGLARY,,,714,M,47,WHITE,,WESTERN,PENROSE/FAYETTE STREET OUTREACH,39.2912,-76.6531,"(39.2912,-76.6531)",,,1
-76.5907,39.2868,1892,2022/07/11 17:30:00+00,5A,1800 BANK ST,BURGLARY,,,212,F,45,BLACK_OR_AFRICAN_AMERICAN,,SOUTHEAST,UPPER FELLS POINT,39.2868,-76.5907,"(39.2868,-76.5907)",,,1
-76.6623999999999,39.3616000000001,1894,2022/07/11 22:30:00+00,5A,2200 SOUTH RD,BURGLARY,,,533,F,57,WHITE,NOT_HISPANIC_OR_LATINO,NORTHERN,MOUNT WASHINGTON,39.3616,-76.6624,"(39.3616,-76.6624)",,,1
-76.6115,39.3078,1904,2022/07/11 13:10:00+00,5F,300 E FEDERAL ST,BURGLARY,,,313,M,33,WHITE,,EASTERN,GREENMOUNT WEST,39.3078,-76.6115,"(39.3078,-76.6115)",,,1
-76.6145999999999,39.3248,1960,2022/07/11 23:00:00+00,5F,3000 N CALVERT ST,BURGLARY,,,512,M,45,WHITE,UNKNOWN,NORTHERN,CHARLES VILLAGE,39.3248,-76.6146,"(39.3248,-76.6146)",,,1
-76.7051,39.3631,1962,2022/07/11 14:00:00+00,5B,3800 FALLSTAFF RD,BURGLARY,,,631,M,52,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,NORTHWEST,FALLSTAFF,39.3631,-76.7051,"(39.3631,-76.7051)",,,1
-76.6107,39.2364000000001,1963,2022/07/11 03:45:00+00,5B,3800 S HANOVER ST,BURGLARY,,,913,,,,,SOUTHERN,BROOKLYN,39.2364,-76.6107,"(39.2364,-76.6107)",,,1
-76.6530999999999,39.2912000000001,1995,2022/07/11 15:45:00+00,5F,200 N BENTALOU ST,BURGLARY,,,714,,,,,WESTERN,PENROSE/FAYETTE STREET OUTREACH,39.2912,-76.6531,"(39.2912,-76.6531)",,,1
-76.6777999999999,39.3719,2016,2022/07/24 04:20:00+00,5A,6300 GREEN MEADOW PKWY,BURGLARY,,,632,M,48,WHITE,,NORTHWEST,CHESWOLDE,39.3719,-76.6778,"(39.3719,-76.6778)",,,1
