Species code,Full Species name ,Functional group 
And pol,Andromeda polifolia,Evergreen shrub 
Arc alp,Arctostaphylos alpina,Deciduous shrubs
Arc lat,Arctagrostis latifolia,Grass
Arnica sp,Arnica species,Forb
bare ,Bare ground,Bare ground 
Bet nan,Betula nana,Deciduous shrubs
Cal can,Calamagrostis canadensis,Grass
Cal lap,Calamagrostis lapponica,Grass
Car big,Carex bigelowii,Sedge
Cas tet,Cassiope tetragona,Evergreen shrub 
Dry int,Dryas integrifolia,Evergreen shrub 
Emp nig,Empetrum nigrum,Evergreen shrub 
Equ arv,Equisetum arvense,Forb
Eri vag,Eriophorum vaginatum,Sedge
Fes sp,Festuca species,Grass
Fr boil,Frost boil ,Bare ground 
Hie alp,Hierochloe alpina,Grass
Hie sp.,Hierochloe species,Grass
Led pal,Ledum palustre,Evergreen shrub 
lichen,Lichen,Lichen 
litter,Litter ,Litter 
Luz sp,Luzula species,Forb
Min sp,Minuartia species,Forb
moss,Moss,Moss
Ped lap,Pedicularis lapponica,Forb
Ped sp,Pedicularis species,Forb
Pet fri,Petasites frigidus,Forb
Pet sp,Petasites species,Forb
Pol bis,Polygonum bistorta,Forb
Rub cha,Rubus chamaemorus,Forb
Sal arc,Salix arctica,Deciduous shrubs
Sal phl,Salix phlebophylla,Deciduous shrubs
Sal pul,Salix pulchra,Deciduous shrubs
Sal ret,Salix reticulata ,Deciduous shrubs
Sau ang,Saussurea angustifolia,Forb
Std Bet,Standing dead Betula ,
Ste edw,Stellaria edwardsi,Forb
Ste lon,Stellaria longipes,Forb
Ste sp.,Stellaria species,Forb
Tof coc,Tofieldia coccinea,Forb
Tof sp.,Tofieldia species,Forb
Vac uli,Vaccinium uliginosum,Deciduous shrubs
Vac vit,Vaccinium vitis-idaea,Evergreen shrub 
