"","year","plot","func_grp","avg_block","sd","n","se"
"1",2008,"CT","Bare ground",0.0443441666666667,0.0461029614920054,3,0.0266175572278483
"2",2008,"CT","Deciduous shrubs",0.194220833333333,0.0463609763387629,3,0.0267665221690786
"3",2008,"CT","Eriophorum",0.138545833333333,0.0151387273105546,3,0.00874034828793707
"4",2008,"CT","Evergreen shrubs",0.243095,0.0191831591180911,3,0.0110754020807373
"5",2008,"CT","Forb",0.036715,0.00575691377823222,3,0.00332375571956384
"6",2008,"CT","Gramminoid",0.0398216666666667,0.00957873208380594,3,0.00553028354708067
"7",2008,"CT","Lichen",0.0417516666666667,0.00757078980908421,3,0.00437099753425284
"8",2008,"CT","Litter",0.120539166666667,0.0252795290617395,3,0.0145951429087823
"9",2008,"CT","Moss",0.121270833333333,0.0424699029706136,3,0.024520009912541
"10",2008,"CT","Standing dead",0.0130808333333333,0.00572856293788707,3,0.00330738735425881
"11",2008,"F10","Bare ground",0.0223266666666667,0.0106109248929268,3,0.00612622034328218
"12",2008,"F10","Deciduous shrubs",0.2395275,0.030245788549813,3,0.017462414161087
"13",2008,"F10","Eriophorum",0.250635,0.0513338030078622,3,0.0296375849851164
"14",2008,"F10","Evergreen shrubs",0.216565,0.0274987375846601,3,0.0158764035468784
"15",2008,"F10","Forb",0.0755433333333333,0.0257729194520786,3,0.0148800019834601
"16",2008,"F10","Gramminoid",0.0681408333333333,0.0367509681278376,3,0.0212181813415864
"17",2008,"F10","Lichen",0.0311841666666667,0.0139908220660308,3,0.00807760488600702
"18",2008,"F10","Litter",0.0637158333333333,0.00870838759951194,3,0.00502778992478582
"19",2008,"F10","Moss",0.0285858333333333,0.0103076344077258,3,0.00595111550000875
"20",2008,"F10","Standing dead",0.00377416666666667,0.0012281524063948,3,0.000709074122437923
"21",2008,"F2","Bare ground",0.02940625,0.011248301121725,2,0.00795375
"22",2008,"F2","Deciduous shrubs",0.180775,0.0713465004835556,3,0.0411919212599186
"23",2008,"F2","Eriophorum",0.1118875,0.0569849162607966,3,0.0329002567429192
"24",2008,"F2","Evergreen shrubs",0.3186075,0.0782607578866957,3,0.0451838696328679
"25",2008,"F2","Forb",0.06062,0.0305233151664428,3,0.0176226442279056
"26",2008,"F2","Gramminoid",0.049865,0.033068969688365,3,0.0190923785514011
"27",2008,"F2","Lichen",0.0341025,0.0222169787268656,3,0.0128269786485361
"28",2008,"F2","Litter",0.104355833333333,0.0136639293244415,3,0.00788887327365434
"29",2008,"F2","Moss",0.113464166666667,0.030858736337273,3,0.0178162997311763
"30",2008,"F2","Standing dead",0.0072325,0.00353906943983867,2,0.0025025
"31",2008,"F5","Bare ground",0.0361991666666667,0.00703932096038626,3,0.00406415385139118
"32",2008,"F5","Deciduous shrubs",0.172130833333333,0.0601482950887499,3,0.0347266343607868
"33",2008,"F5","Eriophorum",0.186865,0.0551253587289915,3,0.0318266407013579
"34",2008,"F5","Evergreen shrubs",0.298894166666667,0.015278640387264,3,0.00882112714043834
"35",2008,"F5","Forb",0.0625525,0.0383354057139089,3,0.0221329568084188
"36",2008,"F5","Gramminoid",0.0496608333333333,0.0086789289853837,3,0.00501078198598892
"37",2008,"F5","Lichen",0.02681,0.00483356299741712,3,0.00279065889770379
"38",2008,"F5","Litter",0.0969875,0.0260140835654459,3,0.0150192381492316
"39",2008,"F5","Moss",0.0627341666666667,0.00800454649454505,3,0.00462142707336646
"40",2008,"F5","Standing dead",0.00753875,0.00719657926552609,2,0.00508875
"41",2010,"CT","Bare ground",0.008875,0.00745402575793779,3,0.00430358377789179
"42",2010,"CT","Deciduous shrubs",0.21925,0.0186878135425202,3,0.0107894141793395
"43",2010,"CT","Eriophorum",0.127416666666667,0.0100010416124188,3,0.00577410406710667
"44",2010,"CT","Evergreen shrubs",0.252041666666667,0.029715403553264,3,0.0171561962405553
"45",2010,"CT","Forb",0.03425,0.0328833164385833,3,0.0189851915976637
"46",2010,"CT","Gramminoid",0.0504583333333333,0.0101952296851681,3,0.00588621860318188
"47",2010,"CT","Lichen",0.0854166666666667,0.0174222977340342,3,0.0100587682866465
"48",2010,"CT","Litter",0.06375,0.00397452827389617,3,0.00229469496883573
"49",2010,"CT","Moss",0.155,0.027167305718455,3,0.0156850512697069
"50",2010,"CT","Standing dead",0.00325,0.00243349029174147,3,0.00140497627500728
"51",2010,"F10","Bare ground",0.00308333333333333,0.00144337567297406,3,0.000833333333333333
"52",2010,"F10","Deciduous shrubs",0.330125,0.0709481544862162,3,0.0409619360911241
"53",2010,"F10","Eriophorum",0.187416666666667,0.023502770226791,3,0.0135693307171397
"54",2010,"F10","Evergreen shrubs",0.172708333333333,0.0285887689195134,3,0.0165057334314811
"55",2010,"F10","Forb",0.129208333333333,0.0133944562537392,3,0.007733292923745
"56",2010,"F10","Gramminoid",0.0715,0.0389356440167618,3,0.0224795045541489
"57",2010,"F10","Lichen",0.0129166666666667,0.00950438495292217,3,0.00548735921105144
"58",2010,"F10","Litter",0.065,0.00504510901765264,3,0.00291279504943276
"59",2010,"F10","Moss",0.0281666666666667,0.0125102041683313,3,0.00722276974420324
"60",2010,"F10","Standing dead",0.000625,NA,1,NA
"61",2010,"F5","Bare ground",0.007375,0.00593848676010985,3,0.00342858692952845
"62",2010,"F5","Deciduous shrubs",0.276083333333333,0.0560693395121909,3,0.032371648260648
"63",2010,"F5","Eriophorum",0.172833333333333,0.0187859377815784,3,0.0108460662351738
"64",2010,"F5","Evergreen shrubs",0.279833333333333,0.0340673352837191,3,0.0196687851966285
"65",2010,"F5","Forb",0.04875,0.0319484447978301,3,0.0184454432042171
"66",2010,"F5","Gramminoid",0.0405833333333333,0.00787235405284425,3,0.00454510573156567
"67",2010,"F5","Lichen",0.0400416666666667,0.0225971283205042,3,0.0130464581187556
"68",2010,"F5","Litter",0.0702083333333333,0.00942431474078266,3,0.00544113065251863
