"","year","site","treatment","treatment_code","block","quad_num","species","relcov","latin_name_or_catagory"
"1",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"And pol",0,"Andromeda polifolia"
"2",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"And pol",0,"Andromeda polifolia"
"3",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"And pol",0,"Andromeda polifolia"
"4",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"And pol",0,"Andromeda polifolia"
"5",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"And pol",0,"Andromeda polifolia"
"6",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"And pol",0,"Andromeda polifolia"
"7",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"And pol",0,"Andromeda polifolia"
"8",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"And pol",0,"Andromeda polifolia"
"9",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"bare",0,"Bare soil"
"10",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"bare",0,"Bare soil"
"11",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"bare",0,"Bare soil"
"12",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"bare",0,"Bare soil"
"13",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"bare",0,"Bare soil"
"14",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"bare",0,"Bare soil"
"15",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"bare",0,"Bare soil"
"16",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"bare",0,"Bare soil"
"17",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Bet nan",3.73831775700935,"Betula nana"
"18",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"Bet nan",5.35714285714286,"Betula nana"
"19",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"Bet nan",13.0434782608696,"Betula nana"
"20",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"Bet nan",14.1791044776119,"Betula nana"
"21",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"Bet nan",5.47945205479452,"Betula nana"
"22",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"Bet nan",3.96039603960396,"Betula nana"
"23",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"Bet nan",13.6363636363636,"Betula nana"
"24",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"Bet nan",12.3348017621145,"Betula nana"
"25",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Car big",0.467289719626168,"Carex Bigelowii"
"26",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"Car big",0,"Carex Bigelowii"
"27",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"Car big",3.47826086956522,"Carex Bigelowii"
"28",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"Car big",2.23880597014925,"Carex Bigelowii"
"29",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"Car big",0,"Carex Bigelowii"
"30",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"Car big",6.93069306930693,"Carex Bigelowii"
"31",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"Car big",10.9090909090909,"Carex Bigelowii"
"32",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"Car big",7.9295154185022,"Carex Bigelowii"
"33",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Cas tet",4.67289719626168,"Cassiope tetragona"
"34",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"Cas tet",8.03571428571429,"Cassiope tetragona"
"35",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"Cas tet",2.60869565217391,"Cassiope tetragona"
"36",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"Cas tet",1.49253731343284,"Cassiope tetragona"
"37",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"Cas tet",0.91324200913242,"Cassiope tetragona"
"38",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"Cas tet",1.98019801980198,"Cassiope tetragona"
"39",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"Cas tet",0.454545454545455,"Cassiope tetragona"
"40",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"Cas tet",0.440528634361234,"Cassiope tetragona"
"41",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Emp nig",1.86915887850467,"Empetrum nigrum"
"42",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"Emp nig",1.78571428571429,"Empetrum nigrum"
"43",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"Emp nig",1.73913043478261,"Empetrum nigrum"
"44",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"Emp nig",2.23880597014925,"Empetrum nigrum"
"45",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"Emp nig",5.47945205479452,"Empetrum nigrum"
"46",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"Emp nig",4.95049504950495,"Empetrum nigrum"
"47",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"Emp nig",0.909090909090909,"Empetrum nigrum"
"48",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"Emp nig",6.16740088105727,"Empetrum nigrum"
"49",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Eri vag",16.8224299065421,"Eriophorum vaginatum"
"50",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"Eri vag",16.0714285714286,"Eriophorum vaginatum"
"51",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"Eri vag",12.1739130434783,"Eriophorum vaginatum"
"52",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"Eri vag",11.1940298507463,"Eriophorum vaginatum"
"53",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"Eri vag",10.958904109589,"Eriophorum vaginatum"
"54",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"Eri vag",2.97029702970297,"Eriophorum vaginatum"
"55",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"Eri vag",1.81818181818182,"Eriophorum vaginatum"
"56",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"Eri vag",14.0969162995595,"Eriophorum vaginatum"
"57",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Fr boil",0,"Soil Frost boil"
"58",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"Fr boil",0,"Soil Frost boil"
"59",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"Fr boil",0,"Soil Frost boil"
"60",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"Fr boil",0,"Soil Frost boil"
"61",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"Fr boil",0,"Soil Frost boil"
"62",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"Fr boil",0,"Soil Frost boil"
"63",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"Fr boil",0,"Soil Frost boil"
"64",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"Fr boil",0,"Soil Frost boil"
"65",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Led pal",16.8224299065421,"Ledum palustre"
"66",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"Led pal",14.2857142857143,"Ledum palustre"
"67",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"Led pal",12.1739130434783,"Ledum palustre"
"68",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"Led pal",15.6716417910448,"Ledum palustre"
"69",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"Led pal",20.0913242009132,"Ledum palustre"
"70",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"Led pal",10.8910891089109,"Ledum palustre"
"71",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"Led pal",6.36363636363636,"Ledum palustre"
"72",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"Led pal",13.215859030837,"Ledum palustre"
"73",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"lichen",9.34579439252336,"Mixed Lichens"
"74",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"lichen",12.5,"Mixed Lichens"
"75",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"lichen",11.304347826087,"Mixed Lichens"
"76",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"lichen",7.46268656716418,"Mixed Lichens"
"77",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"lichen",2.73972602739726,"Mixed Lichens"
"78",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"lichen",1.98019801980198,"Mixed Lichens"
"79",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"lichen",1.81818181818182,"Mixed Lichens"
"80",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"lichen",2.6431718061674,"Mixed Lichens"
"81",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"litter",9.34579439252336,"Mixed dead litter"
"82",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"litter",7.14285714285714,"Mixed dead litter"
"83",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"litter",6.08695652173913,"Mixed dead litter"
"84",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"litter",4.47761194029851,"Mixed dead litter"
"85",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"litter",6.39269406392694,"Mixed dead litter"
"86",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"litter",3.96039603960396,"Mixed dead litter"
"87",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"litter",5.45454545454545,"Mixed dead litter"
"88",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"litter",5.2863436123348,"Mixed dead litter"
"89",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"moss",16.8224299065421,"Mixed moss"
"90",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"moss",13.3928571428571,"Mixed moss"
"91",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"moss",10.4347826086957,"Mixed moss"
"92",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"moss",5.97014925373134,"Mixed moss"
"93",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"moss",14.6118721461187,"Mixed moss"
"94",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"moss",8.91089108910891,"Mixed moss"
"95",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"moss",5.45454545454545,"Mixed moss"
"96",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"moss",3.52422907488987,"Mixed moss"
"97",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Ped lap",0.467289719626168,"Pedicularis lapponica"
"98",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"Ped lap",0,"Pedicularis lapponica"
"99",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"Ped lap",0.434782608695652,"Pedicularis lapponica"
"100",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"Ped lap",0,"Pedicularis lapponica"
"101",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"Ped lap",0.45662100456621,"Pedicularis lapponica"
"102",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"Ped lap",0,"Pedicularis lapponica"
"103",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"Ped lap",0.454545454545455,"Pedicularis lapponica"
"104",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"Ped lap",0,"Pedicularis lapponica"
"105",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Pol bis",0,"Persicaria bistorta"
"106",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"Pol bis",0,"Persicaria bistorta"
"107",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"Pol bis",0,"Persicaria bistorta"
"108",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"Pol bis",0.746268656716418,"Persicaria bistorta"
"109",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"Pol bis",0,"Persicaria bistorta"
"110",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"Pol bis",0.99009900990099,"Persicaria bistorta"
"111",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"Pol bis",0.909090909090909,"Persicaria bistorta"
"112",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"Pol bis",0,"Persicaria bistorta"
"113",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Rub cha",12.1495327102804,"Rubus chamaemorus"
"114",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,2,"Rub cha",3.57142857142857,"Rubus chamaemorus"
"115",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,3,"Rub cha",6.08695652173913,"Rubus chamaemorus"
"116",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,4,"Rub cha",11.9402985074627,"Rubus chamaemorus"
"117",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,5,"Rub cha",10.0456621004566,"Rubus chamaemorus"
"118",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,6,"Rub cha",17.8217821782178,"Rubus chamaemorus"
"119",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,7,"Rub cha",10.9090909090909,"Rubus chamaemorus"
"120",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,8,"Rub cha",10.5726872246696,"Rubus chamaemorus"
"121",2018,"LTER Moist Acidic Tussock 1989","Control 2","CT2",1,1,"Sal pul",0,"Salix pulchra"
