"","x"
"1","Andromeda polifolia"
"2","Bare soil"
"3","Betula nana"
"4","Carex Bigelowii"
"5","Cassiope tetragona"
"6","Empetrum nigrum"
"7","Eriophorum vaginatum"
"8","Soil Frost boil"
"9","Ledum palustre"
"10","Mixed Lichens"
"11","Mixed dead litter"
"12","Mixed moss"
"13","Pedicularis lapponica"
"14","Persicaria bistorta"
"15","Rubus chamaemorus"
"16","Salix pulchra"
"17","Standing Dead Betula nana"
"18","Vaccinium uliginosum"
"19","Vaccinium vitis-idaea"
"20","Mixed grass"
"21","Winter kill"
"22","Mixed Standing Dead"
"23","Calamagrostis canadensis"
"24","Arctous alpina"
"25","Petasites frigidus"
"26","Salix reticulata"
"27","Pedicularis sp."
"28","Standing Dead Salix pulchra"
"29","Calamagrostis lapponica"
"30","Carex microchaeta"
"31","Tofieldia coccinea"
"32","Arctagrostis latifolia"
"33","Ledum palustre-Dead"
