"","site","treatment","vole_activity","avg_occurrences","sd","n"
"1","MAT06","CT","Chopped_Litter",3.5,2.12132034355964,2
"2","MAT06","CT","Hole",0.5,0.707106781186548,2
"3","MAT06","CT","Runway",1,1.4142135623731,2
"4","MAT06","CT","Severed_Litter",2,2.82842712474619,2
"5","MAT06","F10","Chopped_Litter",5,NA,1
"6","MAT06","F10","Hole",4,NA,1
"7","MAT06","F10","Runway",4,NA,1
"8","MAT06","F10","Severed_Litter",3,NA,1
"9","MAT06","F2","Chopped_Litter",0,0,3
"10","MAT06","F2","Hole",0.666666666666667,1.15470053837925,3
"11","MAT06","F2","Runway",0.333333333333333,0.577350269189626,3
"12","MAT06","F2","Severed_Litter",0.333333333333333,0.577350269189626,3
"13","MAT06","F5","Chopped_Litter",1.5,0.707106781186548,2
"14","MAT06","F5","Hole",2.5,2.12132034355964,2
"15","MAT06","F5","Runway",2,1.4142135623731,2
"16","MAT06","F5","Severed_Litter",3.5,3.53553390593274,2
