"","site","treatment","vole_activity","occurrences","n"
"1","MAT06","CT","Chopped_Litter",7,16
"2","MAT06","CT","Hole",1,16
"3","MAT06","CT","Runway",2,16
"4","MAT06","CT","Severed_Litter",4,16
"5","MAT06","F10","Chopped_Litter",5,8
"6","MAT06","F10","Hole",4,8
"7","MAT06","F10","Runway",4,8
"8","MAT06","F10","Severed_Litter",3,8
"9","MAT06","F2","Chopped_Litter",0,24
"10","MAT06","F2","Hole",2,24
"11","MAT06","F2","Runway",1,24
"12","MAT06","F2","Severed_Litter",1,24
"13","MAT06","F5","Chopped_Litter",3,16
"14","MAT06","F5","Hole",5,16
"15","MAT06","F5","Runway",4,16
"16","MAT06","F5","Severed_Litter",7,16
