"","x"
"1","Arc alp"
"2","bare"
"3","Emp nig"
"4","Led pal"
"5","lichen"
"6","litter"
"7","Loi pro"
"8","Vac vit"
"9","moss"
"10","Sal phl"
"11","Tri spi"
"12","Hie alp"
"13","Vac uli"
"14","Car mic"
"15","Dia lap"
"16","Bet nan"
"17","Pol bis"
"18","Poa pra"
"19","Std Bet nan"
"20","Cal can"
"21","frost boil"
"22","Cha lat"
"23","And pol"
"24","Arc sp."
"25","Car big"
"26","Ant sp."
"27","Ped sp."
"28","Cas tet"
"29","Arc lat"
"30","Epi sp."
"31","Car sp."
"32","grass"
"33","Luz sp."
"34","Sal pul"
"35","Poa arc"
"36","dicot"
"37","Std"
"38","Eri vag"
"39","Kal pro"
"40","Ped lap"
"41","Pet fri"
"42","Rub cha"
"43","Sal arc"
"44","Sal ret"
"45","Std Eri vag"
"46","Cha ang"
