"","year","region","site","treatment","quad","species","cover","func.group"
"1",2018,"TL","IM","CT",1,"And pol",0.028169014,"Evergreen shrubs"
"2",2018,"TL","IM","CT",1,"bare",0.046948357,"Bare ground"
"3",2018,"TL","IM","CT",1,"Bet nan",0.056338028,"Deciduous shrubs"
"4",2018,"TL","IM","CT",1,"Car big",0.037558685,"Grass"
"5",2018,"TL","IM","CT",1,"Cas tet",0.028169014,"Evergreen shrubs"
"6",2018,"TL","IM","CT",1,"Emp nig",0,"Evergreen shrubs"
"7",2018,"TL","IM","CT",1,"Eri vag",0.197183099,"Sedge"
"8",2018,"TL","IM","CT",1,"frost boil",0,"Bare ground"
"9",2018,"TL","IM","CT",1,"Led pal",0.018779343,"Evergreen shrubs"
"10",2018,"TL","IM","CT",1,"lichen",0.004694836,"Lichen"
"11",2018,"TL","IM","CT",1,"litter",0.20657277,"Litter"
"12",2018,"TL","IM","CT",1,"moss",0.103286385,"Moss"
"13",2018,"TL","IM","CT",1,"Ped lap",0.009389671,"Forb"
"14",2018,"TL","IM","CT",1,"Pol bis",0,"Forb"
"15",2018,"TL","IM","CT",1,"Pyr gra",0,"Forb"
"16",2018,"TL","IM","CT",1,"Rub cha",0.093896714,"Forb"
"17",2018,"TL","IM","CT",1,"Sal pul",0.0657277,"Deciduous shrubs"
"18",2018,"TL","IM","CT",1,"Sal ret",0.018779343,"Deciduous shrubs"
"19",2018,"TL","IM","CT",1,"Sax pun",0,"Forb"
"20",2018,"TL","IM","CT",1,"std",0,"Standing dead"
"21",2018,"TL","IM","CT",1,"Vac uli",0.009389671,"Deciduous shrubs"
"22",2018,"TL","IM","CT",1,"Vac vit",0.075117371,"Evergreen shrubs"
"23",2018,"TL","IM","CT",2,"And pol",0,"Evergreen shrubs"
"24",2018,"TL","IM","CT",2,"bare",0,"Bare ground"
"25",2018,"TL","IM","CT",2,"Bet nan",0.120879121,"Deciduous shrubs"
"26",2018,"TL","IM","CT",2,"Car big",0.032967033,"Grass"
"27",2018,"TL","IM","CT",2,"Cas tet",0.065934066,"Evergreen shrubs"
"28",2018,"TL","IM","CT",2,"Emp nig",0,"Evergreen shrubs"
"29",2018,"TL","IM","CT",2,"Eri vag",0.054945055,"Sedge"
"30",2018,"TL","IM","CT",2,"frost boil",0,"Bare ground"
"31",2018,"TL","IM","CT",2,"Led pal",0.032967033,"Evergreen shrubs"
"32",2018,"TL","IM","CT",2,"lichen",0,"Lichen"
"33",2018,"TL","IM","CT",2,"litter",0.087912088,"Litter"
"34",2018,"TL","IM","CT",2,"moss",0.065934066,"Moss"
"35",2018,"TL","IM","CT",2,"Ped lap",0,"Forb"
"36",2018,"TL","IM","CT",2,"Pol bis",0,"Forb"
"37",2018,"TL","IM","CT",2,"Pyr gra",0,"Forb"
"38",2018,"TL","IM","CT",2,"Rub cha",0.197802198,"Forb"
"39",2018,"TL","IM","CT",2,"Sal pul",0.032967033,"Deciduous shrubs"
"40",2018,"TL","IM","CT",2,"Sal ret",0.010989011,"Deciduous shrubs"
"41",2018,"TL","IM","CT",2,"Sax pun",0,"Forb"
"42",2018,"TL","IM","CT",2,"std",0.10989011,"Standing dead"
"43",2018,"TL","IM","CT",2,"Vac uli",0.10989011,"Deciduous shrubs"
"44",2018,"TL","IM","CT",2,"Vac vit",0.076923077,"Evergreen shrubs"
"45",2018,"TL","IM","CT",3,"And pol",0.068376068,"Evergreen shrubs"
"46",2018,"TL","IM","CT",3,"bare",0.034188034,"Bare ground"
"47",2018,"TL","IM","CT",3,"Bet nan",0.068376068,"Deciduous shrubs"
"48",2018,"TL","IM","CT",3,"Car big",0.05982906,"Grass"
"49",2018,"TL","IM","CT",3,"Cas tet",0.05982906,"Evergreen shrubs"
"50",2018,"TL","IM","CT",3,"Emp nig",0,"Evergreen shrubs"
"51",2018,"TL","IM","CT",3,"Eri vag",0.196581197,"Sedge"
"52",2018,"TL","IM","CT",3,"frost boil",0,"Bare ground"
"53",2018,"TL","IM","CT",3,"Led pal",0.111111111,"Evergreen shrubs"
"54",2018,"TL","IM","CT",3,"lichen",0.008547009,"Lichen"
"55",2018,"TL","IM","CT",3,"litter",0.179487179,"Litter"
"56",2018,"TL","IM","CT",3,"moss",0.094017094,"Moss"
"57",2018,"TL","IM","CT",3,"Ped lap",0,"Forb"
"58",2018,"TL","IM","CT",3,"Pol bis",0,"Forb"
"59",2018,"TL","IM","CT",3,"Pyr gra",0,"Forb"
"60",2018,"TL","IM","CT",3,"Rub cha",0.051282051,"Forb"
"61",2018,"TL","IM","CT",3,"Sal pul",0.008547009,"Deciduous shrubs"
"62",2018,"TL","IM","CT",3,"Sal ret",0.008547009,"Deciduous shrubs"
"63",2018,"TL","IM","CT",3,"Sax pun",0,"Forb"
"64",2018,"TL","IM","CT",3,"std",0,"Standing dead"
"65",2018,"TL","IM","CT",3,"Vac uli",0.025641026,"Deciduous shrubs"
"66",2018,"TL","IM","CT",3,"Vac vit",0.025641026,"Evergreen shrubs"
"67",2018,"TL","IM","CT",4,"And pol",0.004807692,"Evergreen shrubs"
"68",2018,"TL","IM","CT",4,"bare",0.004807692,"Bare ground"
"69",2018,"TL","IM","CT",4,"Bet nan",0.105769231,"Deciduous shrubs"
"70",2018,"TL","IM","CT",4,"Car big",0.028846154,"Grass"
"71",2018,"TL","IM","CT",4,"Cas tet",0.057692308,"Evergreen shrubs"
"72",2018,"TL","IM","CT",4,"Emp nig",0,"Evergreen shrubs"
"73",2018,"TL","IM","CT",4,"Eri vag",0.125,"Sedge"
"74",2018,"TL","IM","CT",4,"frost boil",0,"Bare ground"
"75",2018,"TL","IM","CT",4,"Led pal",0.038461538,"Evergreen shrubs"
"76",2018,"TL","IM","CT",4,"lichen",0.038461538,"Lichen"
"77",2018,"TL","IM","CT",4,"litter",0.144230769,"Litter"
"78",2018,"TL","IM","CT",4,"moss",0.076923077,"Moss"
"79",2018,"TL","IM","CT",4,"Ped lap",0.009615385,"Forb"
"80",2018,"TL","IM","CT",4,"Pol bis",0,"Forb"
"81",2018,"TL","IM","CT",4,"Pyr gra",0,"Forb"
"82",2018,"TL","IM","CT",4,"Rub cha",0.173076923,"Forb"
"83",2018,"TL","IM","CT",4,"Sal pul",0.048076923,"Deciduous shrubs"
