"","date","block","plot","rep","t_num","g_ht","clip_id","d_sub2","clip"
"1","6/19/2021",1,"CT",1,1,7.5,"PU2",10,"PU"
"2","6/19/2021",1,"CT",1,2,4,"PR2",10,"PR"
"3","6/19/2021",1,"CT",1,2,5.5,"PU1",10,"PU"
"4","6/19/2021",1,"CT",1,3,6.5,"PR1",10,"PR"
"5","6/19/2021",1,"CT",1,3,9.25,"CT1",10,"CT"
"6","6/19/2021",1,"CT",1,3,14,"CT2",10,"CT"
"7","6/19/2021",1,"CT",2,2,6.5,"PR2",10,"PR"
"8","6/19/2021",1,"CT",2,2,10,"PR1",10,"PR"
"9","6/19/2021",1,"CT",2,2,10.5,"PU2",10,"PU"
"10","6/19/2021",1,"CT",2,2,12,"PU1",10,"PU"
"11","6/19/2021",1,"CT",2,3,11,"CT1",10,"CT"
"12","6/19/2021",1,"CT",2,3,14,"CT2",10,"CT"
"13","6/19/2021",1,"CT",3,2,4.5,"PR2",10,"PR"
"14","6/19/2021",1,"CT",3,2,6.5,"PR1",10,"PR"
"15","6/19/2021",1,"CT",3,3,8.9,"PU1",10,"PU"
"16","6/19/2021",1,"CT",3,3,10.2,"PU2",10,"PU"
"17","6/19/2021",1,"CT",3,3,12,"CT2",10,"CT"
"18","6/19/2021",1,"CT",3,3,19,"CT1",10,"CT"
"19","6/19/2021",1,"CT",4,2,5,"PR2",10,"PR"
"20","6/19/2021",1,"CT",4,2,6,"PR1",10,"PR"
"21","6/19/2021",1,"CT",4,2,7.1,"PU1",10,"PU"
"22","6/19/2021",1,"CT",4,2,12,"CT1",10,"CT"
"23","6/19/2021",1,"CT",4,3,12,"PU2",10,"PU"
"24","6/19/2021",1,"CT",4,3,16,"CT2",10,"CT"
"25","6/19/2021",1,"CT",5,1,6.3,"PU2",10,"PU"
"26","6/19/2021",1,"CT",5,2,5,"PR1",10,"PR"
"27","6/19/2021",1,"CT",5,2,8,"PR2",10,"PR"
"28","6/19/2021",1,"CT",5,3,8.7,"PU1",10,"PU"
"29","6/19/2021",1,"CT",5,3,9,"CT2",10,"CT"
"30","6/19/2021",1,"CT",5,3,9.25,"CT1",10,"CT"
"31","6/19/2021",1,"CT",6,2,6,"PR2",10,"PR"
"32","6/19/2021",1,"CT",6,2,7.5,"CT1",10,"CT"
"33","6/19/2021",1,"CT",6,2,8.5,"PU2",10,"PU"
"34","6/19/2021",1,"CT",6,3,5.5,"PR1",10,"PR"
"35","6/19/2021",1,"CT",6,3,9,"PU1",10,"PU"
"36","6/19/2021",1,"CT",6,3,9.5,"CT2",10,"CT"
"37","6/19/2021",1,"CT",7,2,2.9,"PU2",10,"PU"
"38","6/19/2021",1,"CT",7,2,7,"CT1",10,"CT"
"39","6/19/2021",1,"CT",7,2,8,"PR1",10,"PR"
"40","6/19/2021",1,"CT",7,3,8.5,"PU1",10,"PU"
"41","6/19/2021",1,"CT",7,3,16,"CT2",10,"CT"
"42","6/19/2021",1,"CT",7,4,6,"PR2",10,"PR"
"43","6/19/2021",1,"CT",8,2,7.5,"CT1",10,"CT"
"44","6/19/2021",1,"CT",8,2,9,"PU1",10,"PU"
"45","6/19/2021",1,"CT",8,2,9.5,"PU2",10,"PU"
"46","6/19/2021",1,"CT",8,2,12,"CT2",10,"CT"
"47","6/19/2021",1,"CT",8,3,9,"PR1",10,"PR"
"48","6/19/2021",1,"CT",8,4,6,"PR2",10,"PR"
"49","6/19/2021",1,"CT",9,2,3.5,"PR2",10,"PR"
"50","6/19/2021",1,"CT",9,2,9.1,"PU1",10,"PU"
"51","6/19/2021",1,"CT",9,2,10.5,"PU2",10,"PU"
"52","6/19/2021",1,"CT",9,2,11,"CT1",10,"CT"
"53","6/19/2021",1,"CT",9,3,5.5,"PR1",10,"PR"
"54","6/19/2021",1,"CT",9,3,12,"CT2",10,"CT"
"55","6/19/2021",1,"CT",10,2,2,"PU1",10,"PU"
"56","6/19/2021",1,"CT",10,2,2.7,"PR2",10,"PR"
"57","6/19/2021",1,"CT",10,2,5,"PR1",10,"PR"
"58","6/19/2021",1,"CT",10,2,8,"CT1",10,"CT"
"59","6/19/2021",1,"CT",10,3,11.5,"PU2",10,"PU"
"60","6/19/2021",1,"CT",10,3,13,"CT2",10,"CT"
"61","6/19/2021",1,"F10",1,2,5,"PR1",10,"PR"
"62","6/19/2021",1,"F10",1,2,7.5,"PU1",10,"PU"
"63","6/19/2021",1,"F10",1,2,12.1,"CT2",10,"CT"
"64","6/19/2021",1,"F10",1,3,9.5,"PR2",10,"PR"
"65","6/19/2021",1,"F10",1,3,10.5,"PU2",10,"PU"
"66","6/19/2021",1,"F10",1,3,12,"CT1",10,"CT"
"67","6/19/2021",1,"F10",2,2,2,"PR1",10,"PR"
"68","6/19/2021",1,"F10",2,2,8.5,"PU1",10,"PU"
"69","6/19/2021",1,"F10",2,2,9.2,"CT2",10,"CT"
"70","6/19/2021",1,"F10",2,3,8,"PR2",10,"PR"
"71","6/19/2021",1,"F10",2,3,10,"CT1",10,"CT"
"72","6/19/2021",1,"F10",2,7,12.5,"PU2",10,"PU"
"73","6/19/2021",1,"F10",3,2,11,"PR2",10,"PR"
"74","6/19/2021",1,"F10",3,2,16.5,"PU1",10,"PU"
"75","6/19/2021",1,"F10",3,3,5,"PR1",10,"PR"
"76","6/19/2021",1,"F10",3,3,10,"CT1",10,"CT"
"77","6/19/2021",1,"F10",3,3,14.3,"PU2",10,"PU"
"78","6/19/2021",1,"F10",3,4,11.3,"CT2",10,"CT"
"79","6/19/2021",1,"F10",4,2,14,"CT1",10,"CT"
"80","6/19/2021",1,"F10",4,3,8.2,"PR1",10,"PR"
"81","6/19/2021",1,"F10",4,3,8.5,"PR2",10,"PR"
"82","6/19/2021",1,"F10",4,3,8.6,"CT2",10,"CT"
"83","6/19/2021",1,"F10",4,3,17.5,"PU1",10,"PU"
"84","6/19/2021",1,"F10",4,6,19,"PU2",10,"PU"
"85","6/19/2021",1,"F10",5,2,5.5,"PR1",10,"PR"
"86","6/19/2021",1,"F10",5,2,11,"CT2",10,"CT"
"87","6/19/2021",1,"F10",5,2,15.2,"PU2",10,"PU"
"88","6/19/2021",1,"F10",5,3,10,"PR2",10,"PR"
"89","6/19/2021",1,"F10",5,3,11.5,"CT1",10,"CT"
"90","6/19/2021",1,"F10",5,3,19,"PU1",10,"PU"
"91","6/19/2021",1,"F10",6,1,6,"CT1",10,"CT"
"92","6/19/2021",1,"F10",6,2,10.5,"CT2",10,"CT"
"93","6/19/2021",1,"F10",6,2,11.5,"PU1",10,"PU"
"94","6/19/2021",1,"F10",6,2,12.5,"PU2",10,"PU"
"95","6/19/2021",1,"F10",6,3,5,"PR1",10,"PR"
"96","6/19/2021",1,"F10",6,3,12.25,"PR2",10,"PR"
"97","6/19/2021",1,"F10",7,1,9,"CT1",10,"CT"
"98","6/19/2021",1,"F10",7,2,6.6,"PR1",10,"PR"
"99","6/19/2021",1,"F10",7,2,12.5,"PU2",10,"PU"
"100","6/19/2021",1,"F10",7,2,15.5,"PU1",10,"PU"
"101","6/19/2021",1,"F10",7,3,8.5,"PR2",10,"PR"
"102","6/19/2021",1,"F10",7,4,8.1,"CT2",10,"CT"
"103","6/19/2021",1,"F10",8,2,4.3,"PR1",10,"PR"
"104","6/19/2021",1,"F10",8,2,11.5,"PU1",10,"PU"
